ActivityID,CustomerID,Type,StartTime,EndTime,Duration,StartCondition,StartLocation,EndCondition,Notes
287,10,Growth,2025-04-09 09:11:00,,,3.3kg,50cm,,
285,10,Feed,2025-04-09 14:00:00,,,Breast Milk,Bottle,1ml,0.7ml breast milk by syringe
286,10,Sleep,2025-04-09 14:00:00,2025-04-09 18:15:00,255,Happy,On own in bed,Woke up child,
284,10,Diaper,2025-04-09 18:17:00,,,,,Pee:small,
283,10,Feed,2025-04-09 18:20:00,,,Breast Milk,Bottle,1ml,1.5ml breast milk by syringe 
282,10,Sleep,2025-04-09 18:40:00,2025-04-09 21:20:00,160,Happy,On own in bed,Upset,
281,10,Diaper,2025-04-09 21:20:00,,,Runny,,Poo:small,
280,10,Feed,2025-04-09 21:50:00,,,Breast Milk,Bottle,1ml,1.3ml
279,10,Sleep,2025-04-09 22:00:00,2025-04-10 01:45:00,225,"Happy, under_10_minutes",On own in bed,Woke up child,
278,10,Diaper,2025-04-10 01:45:00,,,Loose,,Poo:small,
277,10,Feed,2025-04-10 02:10:00,,,Breast Milk,Bottle,1ml,0.3ml\n
276,10,Feed,2025-04-10 03:50:00,2025-04-10 04:05:00,15,00:10R,Breast,00:05L,
275,10,Sleep,2025-04-10 04:06:00,2025-04-10 04:47:00,41,,,,
274,10,Diaper,2025-04-10 04:47:00,,,Runny,,"Both, pee:small poo:medium",
273,10,Sleep,2025-04-10 04:48:00,2025-04-10 05:08:00,20,,,,
272,10,Feed,2025-04-10 05:10:00,2025-04-10 05:20:00,10,00:10R,Breast,,
271,10,Feed,2025-04-10 06:35:00,,,Formula,Bottle,25ml,
270,10,Sleep,2025-04-10 06:45:00,2025-04-10 10:20:00,215,Under_10_minutes,On own in bed,Woke up child,
269,10,Diaper,2025-04-10 10:00:00,,,,,Poo:medium,
268,10,Feed,2025-04-10 10:25:00,,,Formula,Bottle,1ml,0.5
267,10,Sleep,2025-04-10 10:32:00,2025-04-10 11:50:00,78,,,,
266,10,Diaper,2025-04-10 11:53:00,,,,,Poo:small,
265,10,Feed,2025-04-10 11:54:00,,,Formula,Bottle,18ml,
264,10,Feed,2025-04-10 15:40:00,,,Formula,Bottle,20ml,
263,10,Diaper,2025-04-10 18:10:00,,,,,Pee:small,
262,10,Feed,2025-04-10 19:20:00,,,Formula,Bottle,20ml,
260,10,Diaper,2025-04-10 19:30:00,,,,,Poo:large,
261,10,Sleep,2025-04-10 19:30:00,2025-04-10 22:10:00,159,,,,
259,10,Feed,2025-04-10 22:15:00,,,Formula,Bottle,20ml,
258,10,Sleep,2025-04-10 22:29:00,2025-04-11 01:49:00,200,,,,
257,10,Feed,2025-04-11 02:00:00,,,Formula,Bottle,35ml,
256,10,Diaper,2025-04-11 02:06:00,,,,,"Both, pee:medium poo:medium",
255,10,Sleep,2025-04-11 02:17:00,2025-04-11 05:20:00,183,,,,
254,10,Feed,2025-04-11 05:15:00,,,Formula,Bottle,35ml,
253,10,Diaper,2025-04-11 05:25:00,,,,,"Both, pee:small poo:small",
252,10,Sleep,2025-04-11 05:45:00,2025-04-11 09:00:00,195,,,,
251,10,Growth,2025-04-11 09:16:00,,,3.05kg,50cm,,
250,10,Feed,2025-04-11 09:25:00,,,Formula,Bottle,37ml,
249,10,Sleep,2025-04-11 09:49:00,2025-04-11 10:55:00,65,,,,
248,10,Diaper,2025-04-11 10:55:00,,,,,Poo:small,
247,10,Sleep,2025-04-11 11:00:00,2025-04-11 13:15:00,135,,,,
246,10,Pump,2025-04-11 11:10:00,2025-04-11 11:30:00,20,14ml,,15ml,
245,10,Diaper,2025-04-11 13:15:00,,,,,"Both, pee:medium poo:medium",
244,10,Feed,2025-04-11 13:23:00,,,Breast Milk,Bottle,30ml,
243,10,Sleep,2025-04-11 13:40:00,2025-04-11 15:40:00,120,,,,
242,10,Pump,2025-04-11 14:19:00,2025-04-11 14:49:00,30,12ml,,18ml,
241,10,Pump,2025-04-11 16:38:00,2025-04-11 17:03:00,25,10ml,,20ml,
240,10,Feed,2025-04-11 16:50:00,,,Breast Milk,Bottle,40ml,
239,10,Diaper,2025-04-11 17:10:00,,,,,Poo:small,
238,10,Sleep,2025-04-11 17:20:00,2025-04-11 20:40:00,200,,,,
236,10,Pump,2025-04-11 20:55:00,2025-04-11 21:20:00,25,15ml,,20ml,
237,10,Feed,2025-04-11 20:55:00,,,Breast Milk,Bottle,15ml,
235,10,Feed,2025-04-11 21:00:00,,,Breast Milk,Bottle,25ml,
234,10,Diaper,2025-04-11 21:10:00,,,,,"Both, pee:small poo:small",
233,10,Sleep,2025-04-11 21:17:00,2025-04-12 00:40:00,203,,,,
232,10,Pump,2025-04-12 00:40:00,2025-04-12 01:10:00,30,20ml,,30ml,
230,10,Feed,2025-04-12 00:50:00,,,Formula,Bottle,20ml,
231,10,Feed,2025-04-12 00:50:00,,,Breast Milk,Bottle,30ml,
229,10,Sleep,2025-04-12 01:30:00,2025-04-12 04:45:00,195,Under_10_minutes,On own in bed,,
228,10,Pump,2025-04-12 04:45:00,2025-04-12 05:05:00,20,30ml,,30ml,
227,10,Feed,2025-04-12 05:00:00,,,Breast Milk,Bottle,40ml,
226,10,Diaper,2025-04-12 05:10:00,,,,,Poo:small,
225,10,Sleep,2025-04-12 05:25:00,2025-04-12 08:52:00,207,,,,
223,10,Pump,2025-04-12 09:10:00,2025-04-12 09:25:00,15,75ml,,75ml,
224,10,Feed,2025-04-12 09:10:00,,,Breast Milk,Bottle,50ml,
222,10,Diaper,2025-04-12 09:20:00,,,,,"Both, pee:medium poo:small",
221,10,Sleep,2025-04-12 09:27:00,2025-04-12 12:43:00,195,,,,
220,10,Diaper,2025-04-12 10:25:00,,,,,"Both, pee:medium poo:small",
219,10,Pump,2025-04-12 12:41:00,2025-04-12 12:51:00,10,40ml,,48ml,
218,10,Diaper,2025-04-12 13:17:00,,,,,"Both, pee:medium poo:small",
217,10,Feed,2025-04-12 13:26:00,,,Breast Milk,Bottle,45ml,
216,10,Sleep,2025-04-12 13:29:00,2025-04-12 16:40:00,191,,,,
214,10,Pump,2025-04-12 16:50:00,2025-04-12 16:58:00,8,40ml,,35ml,
215,10,Feed,2025-04-12 16:50:00,,,Breast Milk,Bottle,50ml,
213,10,Diaper,2025-04-12 17:05:00,,,,,Pee:small,
212,10,Sleep,2025-04-12 17:20:00,2025-04-12 20:10:00,170,,,,
211,10,Diaper,2025-04-12 20:15:00,,,,,Poo:medium,
210,10,Feed,2025-04-12 20:30:00,,,Breast Milk,Bottle,50ml,
209,10,Sleep,2025-04-12 20:40:00,2025-04-13 01:35:00,295,,,,
207,10,Pump,2025-04-13 01:35:00,2025-04-13 01:45:00,10,40ml,,50ml,
208,10,Feed,2025-04-13 01:35:00,,,Breast Milk,Bottle,54ml,
206,10,Sleep,2025-04-13 02:10:00,2025-04-13 06:00:00,229,,,,
205,10,Pump,2025-04-13 06:05:00,2025-04-13 06:15:00,10,63ml,,70ml,
204,10,Diaper,2025-04-13 06:06:00,,,,,"Both, pee:medium poo:medium",
203,10,Feed,2025-04-13 06:10:00,,,Breast Milk,Bottle,56ml,
202,10,Sleep,2025-04-13 06:37:00,2025-04-13 09:43:00,185,,,,
201,10,Diaper,2025-04-13 10:10:00,,,,,"Both, pee:small poo:medium",
200,10,Pump,2025-04-13 10:20:00,2025-04-13 10:30:00,10,51ml,,51ml,
199,10,Feed,2025-04-13 10:30:00,,,Breast Milk,Bottle,56ml,
198,10,Sleep,2025-04-13 10:41:00,2025-04-13 13:20:00,159,,,,
197,10,Diaper,2025-04-13 13:20:00,,,,,Pee:small,
196,10,Growth,2025-04-13 13:28:00,,,3.11kg,50cm,,
195,10,Pump,2025-04-13 13:40:00,2025-04-13 13:50:00,10,50ml,,60ml,
194,10,Feed,2025-04-13 14:14:00,,,Breast Milk,Bottle,60ml,
193,10,Pump,2025-04-13 17:45:00,2025-04-13 17:55:00,10,60ml,,70ml,
192,10,Feed,2025-04-13 18:10:00,,,Breast Milk,Bottle,60ml,
191,10,Diaper,2025-04-13 18:23:00,,,,,"Both, pee:medium poo:small",
190,10,Sleep,2025-04-13 18:30:00,2025-04-13 21:30:00,180,,,,
189,10,Diaper,2025-04-13 20:29:00,,,,,Poo:large,
188,10,Feed,2025-04-13 21:35:00,,,Breast Milk,Bottle,60ml,
187,10,Sleep,2025-04-13 21:42:00,2025-04-14 01:42:00,240,,,,
186,10,Pump,2025-04-13 21:48:00,2025-04-13 21:58:00,10,50ml,,55ml,
184,10,Pump,2025-04-14 01:50:00,,,30ml,,60ml,
185,10,Feed,2025-04-14 01:50:00,,,Breast Milk,Bottle,40ml,
183,10,Sleep,2025-04-14 02:10:00,2025-04-14 03:25:00,74,,,,
182,10,Diaper,2025-04-14 03:25:00,,,,,"Both, pee:small poo:small",
181,10,Diaper,2025-04-14 03:33:00,,,,,Poo:medium,
180,10,Sleep,2025-04-14 03:40:00,2025-04-14 06:47:00,187,,,,
179,10,Feed,2025-04-14 06:47:00,,,Breast Milk,Bottle,60ml,
178,10,Sleep,2025-04-14 06:54:00,2025-04-14 09:25:00,150,,,,
177,10,Pump,2025-04-14 06:55:00,,,49ml,,38ml,
176,10,Pump,2025-04-14 09:25:00,2025-04-14 09:35:00,10,70ml,,70ml,
175,10,Diaper,2025-04-14 09:30:00,,,,,Pee:medium,
174,10,Growth,2025-04-14 10:44:00,,,3.11kg,50cm,,
173,10,Feed,2025-04-14 10:50:00,,,Breast Milk,Bottle,55ml,
172,10,Pump,2025-04-14 13:10:00,2025-04-14 13:20:00,10,50ml,,70ml,
171,10,Diaper,2025-04-14 13:20:00,,,,,Poo:large,
169,10,Feed,2025-04-14 13:30:00,,,Breast Milk,Bottle,60ml,
170,10,Sleep,2025-04-14 13:30:00,2025-04-14 17:00:00,210,,,,
168,10,Feed,2025-04-14 17:14:00,,,Breast Milk,Bottle,60ml,
167,10,Pump,2025-04-14 17:20:00,2025-04-14 17:30:00,10,40ml,,40ml,
166,10,Sleep,2025-04-14 17:30:00,2025-04-14 20:30:00,180,,,,
165,10,Diaper,2025-04-14 19:38:00,,,,,Pee:medium,
163,10,Pump,2025-04-14 20:40:00,,,60ml,,70ml,
164,10,Feed,2025-04-14 20:40:00,,,Breast Milk,Bottle,60ml,
162,10,Sleep,2025-04-14 20:52:00,2025-04-15 00:30:00,218,,,,
161,10,Diaper,2025-04-15 00:35:00,,,,,"Both, pee:small poo:small",
159,10,Pump,2025-04-15 00:45:00,2025-04-15 00:55:00,10,50ml,,60ml,
160,10,Feed,2025-04-15 00:45:00,,,Breast Milk,Bottle,68ml,
158,10,Sleep,2025-04-15 00:55:00,2025-04-15 04:30:00,215,,,,
157,10,Pump,2025-04-15 04:30:00,2025-04-15 04:40:00,10,50ml,,50ml,
156,10,Diaper,2025-04-15 04:35:00,,,,,"Both, pee:medium poo:small",
155,10,Feed,2025-04-15 04:50:00,,,Breast Milk,Bottle,60ml,
154,10,Diaper,2025-04-15 05:09:00,,,,,Poo:medium,
153,10,Sleep,2025-04-15 05:15:00,2025-04-15 08:40:00,205,,,,
152,10,Pump,2025-04-15 08:48:00,2025-04-15 08:58:00,10,45ml,,50ml,
151,10,Diaper,2025-04-15 08:50:00,,,,,Pee:medium,
150,10,Feed,2025-04-15 09:00:00,,,Breast Milk,Bottle,68ml,
149,10,Sleep,2025-04-15 09:30:00,2025-04-15 13:10:00,220,,,,
148,10,Diaper,2025-04-15 10:20:00,,,,,Poo:large,
147,10,Pump,2025-04-15 11:10:00,2025-04-15 11:18:00,8,40ml,,60ml,
146,10,Pump,2025-04-15 13:07:00,2025-04-15 13:15:00,8,45ml,,55ml,
145,10,Feed,2025-04-15 13:20:00,,,Breast Milk,Bottle,70ml,
144,10,Sleep,2025-04-15 13:31:00,2025-04-15 17:12:00,220,,,,
143,10,Diaper,2025-04-15 15:18:00,,,,,Pee:medium,
142,10,Feed,2025-04-15 17:15:00,,,Breast Milk,Bottle,70ml,
141,10,Pump,2025-04-15 17:25:00,2025-04-15 17:35:00,10,50ml,,70ml,
140,10,Sleep,2025-04-15 17:36:00,2025-04-15 20:45:00,189,,,,
139,10,Pump,2025-04-15 20:20:00,2025-04-15 20:30:00,10,70ml,,70ml,
138,10,Feed,2025-04-15 21:00:00,,,Breast Milk,Bottle,70ml,
137,10,Sleep,2025-04-15 21:04:00,2025-04-16 00:45:00,221,,,,
136,10,Pump,2025-04-15 23:30:00,,,60ml,,60ml,
135,10,Diaper,2025-04-16 01:00:00,,,,,"Both, pee:medium poo:large",
134,10,Feed,2025-04-16 01:05:00,,,Breast Milk,Bottle,70ml,
133,10,Sleep,2025-04-16 01:15:00,2025-04-16 04:35:00,200,,,,
131,10,Pump,2025-04-16 04:45:00,2025-04-16 04:55:00,10,50ml,,60ml,
132,10,Feed,2025-04-16 04:45:00,,,Breast Milk,Bottle,70ml,
130,10,Sleep,2025-04-16 04:55:00,2025-04-16 08:32:00,217,,,,
129,10,Diaper,2025-04-16 08:42:00,,,,,"Both, pee:small poo:small",
127,10,Pump,2025-04-16 08:45:00,2025-04-16 08:55:00,10,45ml,,55ml,
128,10,Feed,2025-04-16 08:45:00,,,Breast Milk,Bottle,75ml,
126,10,Tummy time,2025-04-16 09:00:00,2025-04-16 09:20:00,20,,,,
125,10,Diaper,2025-04-16 09:10:00,,,,,Poo:medium,
124,10,Sleep,2025-04-16 09:30:00,2025-04-16 12:55:00,205,,,,
123,10,Feed,2025-04-16 13:05:00,,,Breast Milk,Bottle,75ml,
122,10,Pump,2025-04-16 13:10:00,2025-04-16 13:20:00,10,65ml,,80ml,
121,10,Diaper,2025-04-16 13:15:00,,,,,Poo:small,
120,10,Sleep,2025-04-16 13:20:00,2025-04-16 17:13:00,233,,,,
119,10,Pump,2025-04-16 16:50:00,2025-04-16 17:00:00,10,55ml,,50ml,
118,10,Feed,2025-04-16 17:15:00,,,Breast Milk,Bottle,75ml,
117,10,Skin to skin,2025-04-16 17:40:00,2025-04-16 17:55:00,15,,,,
116,10,Diaper,2025-04-16 17:58:00,,,,,Pee:medium,
115,10,Sleep,2025-04-16 18:00:00,2025-04-16 21:10:00,190,,,,
114,10,Pump,2025-04-16 21:00:00,2025-04-16 21:10:00,10,70ml,,60ml,
113,10,Feed,2025-04-16 21:10:00,,,Breast Milk,Bottle,75ml,
112,10,Sleep,2025-04-16 21:24:00,2025-04-17 00:36:00,192,,,,
111,10,Pump,2025-04-17 00:05:00,2025-04-17 00:13:00,8,40ml,,60ml,
110,10,Diaper,2025-04-17 00:36:00,,,,,"Both, pee:medium poo:large",
109,10,Feed,2025-04-17 00:50:00,,,Breast Milk,Bottle,76ml,
108,10,Sleep,2025-04-17 01:00:00,2025-04-17 04:30:00,210,,,,
107,10,Pump,2025-04-17 04:20:00,2025-04-17 04:30:00,10,50ml,,55ml,
106,10,Feed,2025-04-17 04:40:00,,,Breast Milk,Bottle,78ml,
105,10,Sleep,2025-04-17 04:55:00,2025-04-17 08:10:00,195,,,,
104,10,Diaper,2025-04-17 08:19:00,,,,,"Both, pee:medium poo:small",
103,10,Pump,2025-04-17 08:30:00,2025-04-17 08:40:00,10,40ml,,63ml,
102,10,Feed,2025-04-17 08:44:00,,,Breast Milk,Bottle,78ml,
101,10,Pump,2025-04-17 12:00:00,2025-04-17 12:10:00,10,70ml,,90ml,
100,10,Feed,2025-04-17 12:55:00,,,Breast Milk,Bottle,78ml,
98,10,Growth,2025-04-17 16:00:00,,,3.16kg,50cm,,
99,10,Diaper,2025-04-17 16:00:00,,,,,"Both, pee:large poo:large",
97,10,Diaper,2025-04-17 16:20:00,,,,,Poo:large,
96,10,Feed,2025-04-17 16:30:00,,,Breast Milk,Bottle,78ml,
95,10,Bath,2025-04-17 17:05:00,,,,,,
94,10,Diaper,2025-04-17 18:21:00,,,,,Pee:medium,
93,10,Pump,2025-04-17 19:05:00,2025-04-17 19:12:00,7,40ml,,40ml,
92,10,Feed,2025-04-17 19:20:00,,,Breast Milk,Bottle,60ml,
91,10,Pump,2025-04-17 20:52:00,2025-04-17 20:59:00,7,40ml,,50ml,
90,10,Feed,2025-04-17 21:30:00,,,Breast Milk,Bottle,78ml,
89,10,Sleep,2025-04-17 22:00:00,2025-04-18 01:15:00,195,,,,
88,10,Pump,2025-04-18 00:50:00,2025-04-18 01:00:00,10,47ml,,68ml,
87,10,Diaper,2025-04-18 01:17:00,,,,,Pee:large,
86,10,Feed,2025-04-18 01:30:00,,,Breast Milk,Bottle,80ml,
85,10,Sleep,2025-04-18 01:44:00,2025-04-18 05:14:00,210,,,,
84,10,Pump,2025-04-18 05:08:00,2025-04-18 05:18:00,10,50ml,,75ml,
83,10,Diaper,2025-04-18 05:22:00,,,,,Poo:medium,
82,10,Feed,2025-04-18 05:25:00,,,Breast Milk,Bottle,60ml,
81,10,Sleep,2025-04-18 05:57:00,2025-04-18 08:32:00,155,,,,
80,10,Feed,2025-04-18 08:35:00,,,Breast Milk,Bottle,60ml,
79,10,Sleep,2025-04-18 09:00:00,2025-04-18 12:10:00,190,,,,
78,10,Pump,2025-04-18 09:08:00,2025-04-18 09:18:00,10,40ml,,70ml,
77,10,Diaper,2025-04-18 09:45:00,,,,,"Both, pee:medium poo:medium",
76,10,Pump,2025-04-18 12:15:00,2025-04-18 12:25:00,10,60ml,,75ml,
75,10,Feed,2025-04-18 12:20:00,,,Breast Milk,Bottle,60ml,
74,10,Diaper,2025-04-18 13:30:00,,,,,"Both, pee:medium poo:small",
73,10,Diaper,2025-04-18 13:55:00,,,,,Poo:small,
72,10,Sleep,2025-04-18 13:58:00,2025-04-18 14:35:00,37,,,,
